"county","Ranked_Change_Percent_Tranqusers_on2015","Ranked_Change_Percent_Stimulantusers_on2015","Ranked_Percent_Opiateusers_2016","Ranked_Percent_Tranqusers_2016","Ranked_Percent_Stimulantusers_2016","Ranked_Change_Percent_Opiateusers_on2015","Change_Percent_Tranqusers_on2015","Change_Percent_Stimulantusers_on2015","Percent_Opiateusers_2016","Percent_Tranqusers_2016","Percent_Stimulantusers_2016","Change_Percent_Opiateusers_on2015","ratethouStim_2012","ratethouSed_2012","ratethouOpi_2012","ratethouStim_2016","ratethouSed_2016","ratethouOpi_2016","rate_change_stim","rate_change_opi","rate_change_sed","Ranked_ratethouStim_2016","Ranked_ratethouSed_2016","Ranked_ratethouOpi_2016","Ranked_rate_change_stim","Ranked_rate_change_opi","Ranked_rate_change_sed","Sumrank"
"ben hill",67,82,23,46,56,5,0.0793166995779899,-0.22053337538453,2.99850074962519,1.64917541229385,1.34932533733133,1.58562790818092,2.249212776,2.249212776,0,4.498425551,15.74448943,6.747638327,2.249212775,6.747638327,13.495276654,3,3,4,16,4,2,311
"colquitt",15,22,7,3.5,3,20,0.95012374680146,0.42671458448726,3.75246872942725,3.2258064516129,2.96247531270573,0.56651294269123,2.044989775,1.022494888,1.022494888,1.022494888,7.157464213,3.067484663,-1.022494887,2.044989775,6.134969325,59,33,17,131,20,7,337.5
"pickens",35,17,111,100,49,35,0.309670168541141,0.512189423479751,1.61290322580645,1.10887096774194,1.41129032258065,0.11440172730495,0,6.114961272,0,2.038320424,14.26824297,2.038320424,2.038320424,2.038320424,8.153281698,31,5,31,18,21,5,458
"bryan",29,29,13,21,6,31,0.40641434707752,0.23389215012252,3.35802469135802,2.02469135802469,2.51851851851852,0.21666343481352,1.36239782,0,0,2.72479564,0,1.36239782,1.36239782,1.36239782,0,19,132.5,49,27,30,90,476.5
"putnam",6,38,9,5,19,25,1.26327573136084,0.10273414528734,3.4816247582205,3.09477756286267,1.93423597678917,0.36807164466739,0,8.174386921,0,0,5.449591281,2.72479564,0,2.72479564,-2.72479564,115,55,19,81.5,12,132,516.5
"coweta",139,140,12,13,15,84,-0.62917768208633,-0.75909928763163,3.35946248600224,2.46360582306831,2.16498693542367,-0.46434257491622,1.586294416,3.172588832,0,3.965736041,8.328045685,1.586294416,2.379441625,1.586294416,5.155456853,5,25,44,14,26,15,532
"franklin",43,11,73,56,22,23,0.25641025641026,0.61143984220908,2.1301775147929,1.53846153846154,1.89349112426036,0.49847588309127,2.574665294,12.87332647,0,2.574665294,7.723995881,2.574665294,0,2.574665294,-5.149330589,23,28,21,81.5,13,148,542.5
"paulding",75,33,43,36,34,45,0.01740801254921,0.21694397900849,2.50816265954289,1.75126150192936,1.64737310774711,-0.00592490005832014,0.888375605,3.553502421,0.888375605,0.888375605,7.551192644,1.332563408,0,0.444187803,3.997690223,63,29,52,81.5,43,25,559.5
"sumter",61,4,3,126,33,2,0.112160566706022,1.17670208579299,4.13223140495868,0.826446280991736,1.65289256198347,1.98937426210154,0,1.35998912,2.71997824,1.35998912,5.43995648,1.35998912,1.35998912,-1.35998912,4.07996736,47,56,50,28,136,24,570
"cherokee",38,60,65,42,27,47,0.29713268840705,-0.00112472738376002,2.1830787969643,1.69586807832849,1.75208469970955,-0.0108280817480999,0.870966337,2.612899011,1.088707921,1.088707921,4.57257327,1.52419109,0.217741584,0.435483169,1.959674259,56,61,47,40,44,50,577
"chatham",70,42,74,60,51,56,0.06159192096582,0.06309023231666,2.11621233859397,1.49450023912004,1.39885222381636,-0.16672633778733,1.179702378,3.707636045,0.505586733,1.5167602,6.067040801,2.022346934,0.337057822,1.516760201,2.359404756,42,46,33,36,29,40,579
"upson",68,108,15,54,57,27,0.0771539197031201,-0.4045137409711,3.29896907216495,1.54639175257732,1.34020618556701,0.36049340641656,0,9.36329588,7.490636704,1.872659176,16.85393258,1.872659176,1.872659176,-5.617977528,7.4906367,33,1,36,20,156,6,581
"thomas",60,46,37,64,32,32,0.11256453760969,0.00273657708937991,2.64900662251656,1.43487858719647,1.65562913907285,0.16966777954135,2.422774076,2.422774076,0,0,10.90248334,2.422774076,-2.422774076,2.422774076,8.479709264,115,12,24,146,15,4,587
"twiggs",12,53,45,28,23,4,1.05532786885246,0,2.5,1.875,1.875,1.68032786885246,0,0,0,0,0,8.333333333,0,8.333333333,0,115,132.5,3,81.5,3,90,590
"evans",5,9,38,48.5,10,12,1.3015873015873,0.66666666666667,2.64550264550265,1.58730158730159,2.38095238095238,0.93121693121694,4.470272687,8.940545373,4.470272687,8.940545373,4.470272687,0,4.470272686,-4.470272687,-4.470272686,1,63,115,2,154,143,600.5
"richmond",51,40,26,23,50,75,0.15757885199702,0.0887807661696001,2.96688741721854,1.98675496688742,1.40397350993377,-0.40423881105055,1.802532558,4.506331396,0.45063314,1.577215988,6.308863954,1.351899419,-0.22531657,0.901266279,1.802532558,37,45,51,123,35,52,608
"glynn",53,98,42,77,39,41,0.15280316181743,-0.32694525339284,2.55436658612358,1.38073869520193,1.55333103210217,0.0217495485180499,0.643500644,6.435006435,1.930501931,3.217503218,8.365508366,1.287001287,2.574002574,-0.643500644,1.930501931,12,23,54,13,127,51,630
"long",1,1,1,7,1,1,2.27482861736066,1.69966598085845,4.7970479704797,2.9520295202952,3.50553505535055,2.08824435874155,0,0,0,0,0,0,0,0,0,115,132.5,115,81.5,86.5,90,632.5
"pike",28,27,18,12,2,85,0.42906192580332,0.25615637361392,3.24825986078886,2.55220417633411,3.01624129930394,-0.46723907764001,0,0,0,2.251745102,0,0,2.251745102,0,0,27,132.5,115,15,86.5,90,638
"floyd",105,36,70,68.5,48,39,-0.0785476620552099,0.13607262324132,2.15917650012553,1.40597539543058,1.43108209892041,0.0429415032840899,1.056524036,9.508716323,2.64131009,2.64131009,11.6217644,1.584786054,1.584786054,-1.056524036,2.113048077,21,10,45,22,134,46,644.5
"harris",103,74,67,25,26,105,-0.06260352314442,-0.13695832214164,2.17566478646253,1.93392425463336,1.77276390008058,-0.6889185468708,0,0,0,3.126465531,1.563232765,1.563232765,3.126465531,1.563232765,1.563232765,14,101,46,7,27,55,650
"houston",37,115,41,19,42,99,0.29789678520675,-0.46482627498619,2.61914984972091,2.04665807929011,1.51710319164162,-0.6160585443333,1.98780811,3.975616221,2.319109462,0.993904055,7.288629738,3.644314869,-0.993904055,1.325205407,3.313013517,62,32,12,130,31,30,650
"dekalb",65,71,52,30,76,54,0.10063892528428,-0.12038183809407,2.39924017178725,1.82936901222332,1.11083581103403,-0.12852504254513,0.782678611,3.486477448,0.355763005,1.209594217,4.696071665,1.209594217,0.426915606,0.853831212,1.209594217,53,60,58,34,38,61,652
"butts",17,26,36,26,62,15,0.8466724807973,0.294906541555795,2.65811182401467,1.92483959670027,1.28322639780018,0.86116663084306,0,3.842459174,0,0,1.921229587,1.921229587,0,1.921229587,-1.921229587,115,100,35,81.5,22,122,657.5
"jackson",116,128,88,104,66,73,-0.21004278238504,-0.63025437786578,1.93745751189667,1.08769544527532,1.22365737593474,-0.39847129789198,0,1.490535102,1.490535102,2.235802653,13.41481592,3.726337755,2.235802653,2.235802653,11.924280818,28,7,11,17,18,3,659
"burke",4,138,6,10,58,36,1.45688683164204,-0.73497121832532,3.7712895377129,2.67639902676399,1.338199513382,0.11275295234705,2.095557418,0,0,0,2.095557418,2.095557418,-2.095557418,2.095557418,2.095557418,115,97,29,142,19,48,702
"henry",48,124,64,24,65,100,0.18006712111273,-0.57219322514095,2.18390804597701,1.93633952254642,1.23784261715296,-0.62075145223088,0.670702057,2.347457201,1.1737286,1.006053086,4.527238887,1.676755143,0.335351029,0.503026543,2.179781686,61,62,41,37,42,41,709
"bibb",110,75,58,41,53,64,-0.11993880368923,-0.15223356809753,2.28637860879675,1.70509591164503,1.39507847316412,-0.27263745944368,1.168326664,5.257469989,1.752489996,0.876244998,8.470368315,2.044571662,-0.292081666,0.292081666,3.212898326,64,19,30,124,47,33,718
"laurens",32,8,16,57,30,18,0.35662105599329,0.734301499459241,3.26659641728135,1.52792413066386,1.68598524762908,0.63116449927256,6.628369421,6.628369421,3.314184711,0,7.733097658,1.104728237,-6.628369421,-2.209456474,1.104728237,115,27,62,157,140,62,724
"lumpkin",34,32,25,39,44,8,0.32422256310138,0.21754288104867,2.97029702970297,1.73267326732673,1.48514851485149,1.13931111421001,1.2318305,2.463661,0,1.2318305,1.2318305,0,0,0,-1.2318305,51,103,115,81.5,86.5,117,736
"baldwin",23,12,62,107,83,37,0.599665514840337,0.599665514840337,2.20848056537102,1.06007067137809,1.06007067137809,0.0906168452973599,1.619433198,8.097165992,3.238866397,2.429149798,5.668016194,1.619433198,0.8097166,-1.619433199,-2.429149798,24,49,43,32,138,130,740
