"county","rate_change_opi"
"Miller",19.01140684
"Lanier",9.025270758
"Twiggs",8.333333333
"Ben Hill",6.747638327
"Jeff Davis",6.51678071
"Appling",5.560189046
"Bleckley",4.875670405
"Dawson",3.824091778
"Brooks",3.299241175
"Coffee",3.18877551
"Morgan",2.961208173
"Putnam",2.72479564
"Franklin",2.574665294
"Elbert",2.488800398
"Thomas",2.422774076
"Dade",2.299908004
"Monroe",2.258866049
"Jackson",2.235802653
"Burke",2.095557418
"Colquitt",2.044989775
"Pickens",2.038320424
"Butts",1.921229587
"Gordon",1.756697409
"Tattnall",1.715265866
"Toombs",1.669727834
"Coweta",1.586294416
"Harris",1.563232765
"Muscogee",1.551710761
"Chatham",1.516760201
"Bryan",1.36239782
"Houston",1.325205407
"Murray",1.264222503
"Gwinnett",1.116445238
"Hall",1.044686463
"Richmond",0.901266279
"Newton",0.870738822
"Whitfield",0.85785365
"DeKalb",0.853831212
"Fayette",0.846166864
"Troup",0.684884597
"Columbia",0.680202701
"Henry",0.503026543
"Paulding",0.444187803
"Cherokee",0.435483169
"Dougherty",0.415282392
"Douglas",0.331213567
"Bibb",0.292081666
"Clayton",0.202191759
"Cobb",0.0690827199999999
"Atkinson",0
"Bacon",0
"Baker",0
"Banks",0
"Brantley",0
"Bulloch",0
"Calhoun",0
"Camden",0
"Carroll",0
"Charlton",0
"Chattooga",0
"Clarke",0
"Clay",0
"Clinch",0
"Crawford",0
"Crisp",0
"Decatur",0
"Dodge",0
"Early",0
"Echols",0
"Emanuel",0
"Fannin",0
"Gilmer",0
"Glascock",0
"Grady",0
"Greene",0
"Hancock",0
"Haralson",0
"Hart",0
"Heard",0
"Irwin",0
"Jasper",0
"Jenkins",0
"Johnson",0
"Jones",0
"Lamar",0
"Lee",0
"Lincoln",0
"Long",0
"Lowndes",0
"Lumpkin",0
"Madison",0
"Marion",0
"McIntosh",0
"Mitchell",0
"Montgomery",0
"Oconee",0
"Oglethorpe",0
"Pierce",0
"Pike",0
"Quitman",0
"Randolph",0
"Screven",0
"Seminole",0
"Stephens",0
"Stewart",0
"Talbot",0
"Taliaferro",0
"Taylor",0
"Telfair",0
"Terrell",0
"Towns",0
"Treutlen",0
"Turner",0
"Union",0
"Warren",0
"Washington",0
"Webster",0
"White",0
"Wilcox",0
"Wilkes",0
"Wilkinson",0
"Worth",0
"Catoosa",0
"Fulton",-0.049367114
"Bartow",-0.470477535
"Rockdale",-0.542976598
"Glynn",-0.643500644
"Forsyth",-0.749203971
"Walker",-0.763533634
"Effingham",-0.792581438
"Walton",-0.846919331
"Peach",-1.00918357
"Polk",-1.054407423
"Floyd",-1.056524036
"Barrow",-1.298448354
"Sumter",-1.35998912
"Wayne",-1.499925004
"Baldwin",-1.619433199
"Tift",-2.035623409
"Laurens",-2.209456474
"Berrien",-2.213858756
"McDuffie",-2.343017807
"Spalding",-2.499375156
"Meriwether",-2.620545073
"Liberty",-2.791580593
"Jefferson",-2.808199944
"Chattahoochee",-2.901073397
"Macon",-3.290556104
"Habersham",-3.295254833
"Rabun",-3.615328995
"Dooly",-3.663003663
"Ware",-4.130524576
"Candler",-4.135649297
"Evans",-4.470272687
"Pulaski",-5.221932115
"Upson",-5.617977528
"Cook",-6.086427267
"Wheeler",-8.438818565
"Schley",-9.689922481
