"county","rate_change_stim"
"Irwin",7.98084597
"Evans",4.470272686
"Charlton",4.210526316
"Madison",3.943217666
"Toombs",3.339455669
"Brooks",3.299241175
"Harris",3.126465531
"Worth",3.062787136
"Tift",3.053435115
"Jones",2.913752914
"Chattahoochee",2.901073397
"Banks",2.656042497
"Glynn",2.574002574
"Coweta",2.379441625
"Pike",2.251745102
"Ben Hill",2.249212775
"Jackson",2.235802653
"Pickens",2.038320424
"Bulloch",1.992111239
"Upson",1.872659176
"Haralson",1.836210063
"Floyd",1.584786054
"Camden",1.571832757
"Stephens",1.563232765
"Walker",1.527067267
"Oconee",1.51998784
"Bryan",1.36239782
"Sumter",1.35998912
"Newton",1.306108233
"Liberty",1.116632238
"Gordon",0.878348704
"Baldwin",0.8097166
"Bartow",0.470477535
"DeKalb",0.426915606
"Forsyth",0.374601986
"Chatham",0.337057822
"Henry",0.335351029
"Douglas",0.331213567
"Lowndes",0.303388854
"Cherokee",0.217741584
"Atkinson",0
"Bacon",0
"Baker",0
"Barrow",0
"Bleckley",0
"Brantley",0
"Butts",0
"Calhoun",0
"Candler",0
"Carroll",0
"Chattooga",0
"Clay",0
"Columbia",0
"Crawford",0
"Dade",0
"Dawson",0
"Dooly",0
"Early",0
"Echols",0
"Effingham",0
"Emanuel",0
"Franklin",0
"Gilmer",0
"Glascock",0
"Greene",0
"Gwinnett",0
"Hancock",0
"Hart",0
"Heard",0
"Jasper",0
"Jeff Davis",0
"Jefferson",0
"Jenkins",0
"Johnson",0
"Lamar",0
"Lanier",0
"Lee",0
"Lincoln",0
"Long",0
"Lumpkin",0
"Macon",0
"Marion",0
"McDuffie",0
"McIntosh",0
"Miller",0
"Monroe",0
"Montgomery",0
"Morgan",0
"Murray",0
"Muscogee",0
"Oglethorpe",0
"Paulding",0
"Peach",0
"Pierce",0
"Pulaski",0
"Putnam",0
"Quitman",0
"Randolph",0
"Rockdale",0
"Schley",0
"Screven",0
"Seminole",0
"Stewart",0
"Talbot",0
"Taliaferro",0
"Taylor",0
"Telfair",0
"Terrell",0
"Towns",0
"Treutlen",0
"Troup",0
"Turner",0
"Twiggs",0
"Ware",0
"Warren",0
"Washington",0
"Webster",0
"Wheeler",0
"Whitfield",0
"Wilkes",0
"Wilkinson",0
"Catoosa",0
"Richmond",-0.22531657
"Bibb",-0.292081666
"Fulton",-0.444304022
"Clayton",-0.808767035
"Spalding",-0.833125052
"Fayette",-0.846166864
"Cobb",-0.898075356
"Houston",-0.993904055
"Colquitt",-1.022494887
"Polk",-1.054407423
"Coffee",-1.06292517
"Habersham",-1.098418277
"Walton",-1.270378996
"Hall",-1.305858079
"Dougherty",-1.661129568
"Tattnall",-1.715265866
"Decatur",-1.822157434
"White",-1.866716446
"Clarke",-2.040214903
"Burke",-2.095557418
"Grady",-2.106149958
"Crisp",-2.203128442
"Berrien",-2.213858756
"Thomas",-2.422774076
"Dodge",-2.576655501
"Meriwether",-2.620545073
"Fannin",-2.759381898
"Appling",-2.780094523
"Wayne",-2.999850007
"Cook",-3.043213634
"Rabun",-3.615328995
"Mitchell",-3.910833007
"Elbert",-4.977600796
"Wilcox",-5.524861878
"Laurens",-6.628369421
"Clinch",-6.662225183
"Union",-7.079646018
