"county","ratethouEth_2016"
"Pulaski",5.221932115
"Berrien",4.427717512
"McIntosh",3.351206434
"Gwinnett",3.349335715
"Putnam",2.72479564
"Washington",2.399808015
"Pickens",2.038320424
"White",1.866716446
"Chatham",1.685289111
"Liberty",1.674948356
"Rockdale",1.628929793
"Camden",1.571832757
"Harris",1.563232765
"Oconee",1.51998784
"Wayne",1.499925004
"Jackson",1.490535102
"Fulton",1.481013408
"Bibb",1.46040833
"Bryan",1.36239782
"Clarke",1.360143268
"Carroll",1.306890581
"Hall",1.305858079
"Barrow",1.298448354
"Fayette",1.269250296
"Thomas",1.211387038
"Bulloch",1.195266744
"Coweta",1.189720812
"Laurens",1.104728237
"Habersham",1.098418278
"Colquitt",1.022494888
"Houston",0.993904055
"Chattahoochee",0.967024466
"Lowndes",0.91016656
"Cobb",0.898075355
"Paulding",0.888375605
"Gordon",0.878348704
"Cherokee",0.870966337
"Spalding",0.833125052
"Baldwin",0.809716599
"Muscogee",0.775855381
"Forsyth",0.749203971
"Troup",0.684884597
"DeKalb",0.640373409
"Bartow",0.470477535
"Whitfield",0.428926825
"Walton",0.423459665
"Douglas",0.331213567
"Richmond",0.22531657
"Henry",0.167675514
"Appling",0
"Atkinson",0
"Bacon",0
"Baker",0
"Banks",0
"Ben Hill",0
"Bleckley",0
"Brantley",0
"Brooks",0
"Burke",0
"Butts",0
"Calhoun",0
"Candler",0
"Charlton",0
"Chattooga",0
"Clay",0
"Clayton",0
"Clinch",0
"Coffee",0
"Columbia",0
"Cook",0
"Crawford",0
"Crisp",0
"Dade",0
"Dawson",0
"Decatur",0
"Dodge",0
"Dooly",0
"Dougherty",0
"Early",0
"Echols",0
"Effingham",0
"Elbert",0
"Emanuel",0
"Evans",0
"Fannin",0
"Floyd",0
"Franklin",0
"Gilmer",0
"Glascock",0
"Glynn",0
"Grady",0
"Greene",0
"Hancock",0
"Haralson",0
"Hart",0
"Heard",0
"Irwin",0
"Jasper",0
"Jeff Davis",0
"Jefferson",0
"Jenkins",0
"Johnson",0
"Jones",0
"Lamar",0
"Lanier",0
"Lee",0
"Lincoln",0
"Long",0
"Lumpkin",0
"Macon",0
"Madison",0
"Marion",0
"McDuffie",0
"Meriwether",0
"Miller",0
"Mitchell",0
"Monroe",0
"Montgomery",0
"Morgan",0
"Murray",0
"Newton",0
"Oglethorpe",0
"Peach",0
"Pierce",0
"Pike",0
"Polk",0
"Quitman",0
"Rabun",0
"Randolph",0
"Schley",0
"Screven",0
"Seminole",0
"Stephens",0
"Stewart",0
"Sumter",0
"Talbot",0
"Taliaferro",0
"Tattnall",0
"Taylor",0
"Telfair",0
"Terrell",0
"Tift",0
"Toombs",0
"Towns",0
"Treutlen",0
"Turner",0
"Twiggs",0
"Union",0
"Upson",0
"Walker",0
"Ware",0
"Warren",0
"Webster",0
"Wheeler",0
"Wilcox",0
"Wilkes",0
"Wilkinson",0
"Worth",0
"Catoosa",0
