"county","ratethouOpi_2016"
"Miller",19.01140684
"Lanier",9.025270758
"Twiggs",8.333333333
"Ben Hill",6.747638327
"Jeff Davis",6.51678071
"Appling",5.560189046
"Toombs",5.009183503
"Bleckley",4.875670405
"Coffee",4.25170068
"Dawson",3.824091778
"Jackson",3.726337755
"Houston",3.644314869
"Troup",3.424422985
"Muscogee",3.362039982
"Brooks",3.299241175
"Habersham",3.295254833
"Colquitt",3.067484663
"Morgan",2.961208173
"Putnam",2.72479564
"Gordon",2.635046113
"Franklin",2.574665294
"Murray",2.528445006
"Elbert",2.488800398
"Thomas",2.422774076
"Camden",2.357749135
"Dade",2.299908004
"Monroe",2.258866049
"Whitfield",2.144634125
"Burke",2.095557418
"Bibb",2.044571662
"Pickens",2.038320424
"Tift",2.03562341
"Chatham",2.022346934
"Bulloch",1.992111239
"Butts",1.921229587
"Upson",1.872659176
"Haralson",1.836210062
"Hall",1.828201311
"Tattnall",1.715265866
"Walton",1.693838662
"Henry",1.676755143
"Fulton",1.629114749
"Baldwin",1.619433198
"Coweta",1.586294416
"Floyd",1.584786054
"Harris",1.563232765
"Cherokee",1.52419109
"Ware",1.376841526
"Bryan",1.36239782
"Sumter",1.35998912
"Richmond",1.351899419
"Paulding",1.332563408
"Newton",1.306108233
"Glynn",1.287001287
"Fayette",1.269250296
"Dougherty",1.245847176
"Cobb",1.243488954
"DeKalb",1.209594217
"Clarke",1.133452724
"Forsyth",1.123805956
"Gwinnett",1.116445238
"Laurens",1.104728237
"Rockdale",1.085953195
"Columbia",1.020304051
"Douglas",0.9936407
"Carroll",0.980167935
"Lowndes",0.91016656
"Clayton",0.808767035
"Barrow",0.649224177
"Liberty",0.558316119
"Atkinson",0
"Bacon",0
"Baker",0
"Banks",0
"Bartow",0
"Berrien",0
"Brantley",0
"Calhoun",0
"Candler",0
"Charlton",0
"Chattahoochee",0
"Chattooga",0
"Clay",0
"Clinch",0
"Cook",0
"Crawford",0
"Crisp",0
"Decatur",0
"Dodge",0
"Dooly",0
"Early",0
"Echols",0
"Effingham",0
"Emanuel",0
"Evans",0
"Fannin",0
"Gilmer",0
"Glascock",0
"Grady",0
"Greene",0
"Hancock",0
"Hart",0
"Heard",0
"Irwin",0
"Jasper",0
"Jefferson",0
"Jenkins",0
"Johnson",0
"Jones",0
"Lamar",0
"Lee",0
"Lincoln",0
"Long",0
"Lumpkin",0
"Macon",0
"Madison",0
"Marion",0
"McDuffie",0
"McIntosh",0
"Meriwether",0
"Mitchell",0
"Montgomery",0
"Oconee",0
"Oglethorpe",0
"Peach",0
"Pierce",0
"Pike",0
"Polk",0
"Pulaski",0
"Quitman",0
"Rabun",0
"Randolph",0
"Schley",0
"Screven",0
"Seminole",0
"Spalding",0
"Stephens",0
"Stewart",0
"Talbot",0
"Taliaferro",0
"Taylor",0
"Telfair",0
"Terrell",0
"Towns",0
"Treutlen",0
"Turner",0
"Union",0
"Walker",0
"Warren",0
"Washington",0
"Wayne",0
"Webster",0
"Wheeler",0
"White",0
"Wilcox",0
"Wilkes",0
"Wilkinson",0
"Worth",0
"Catoosa",0
