"county","ratethouPoison_2016"
"Pickens",30.57480636
"Union",28.31858407
"Upson",28.08988764
"Ben Hill",26.99055331
"Clinch",26.64890073
"Haralson",25.70694087
"Gwinnett",24.56179524
"Coweta",23.39784264
"Thomas",23.01635373
"Muscogee",22.49980604
"Jackson",22.35802653
"Toombs",21.70646185
"Floyd",21.65874274
"Pulaski",20.88772846
"Liberty",19.54106415
"Ware",19.27578136
"Miller",19.01140684
"Carroll",18.62319077
"Lanier",18.05054152
"Dodge",18.03658851
"Franklin",18.02265706
"Crisp",17.62502754
"Forsyth",17.60629331
"Houston",17.55897164
"Tift",17.30279898
"Bibb",17.2328183
"Wheeler",16.87763713
"Hall",16.71498342
"Gordon",16.68862538
"Appling",16.68056714
"Laurens",16.57092355
"Brooks",16.49620587
"Screven",16.21796951
"Baker",15.77287066
"Chatham",15.50465982
"Colquitt",15.33742331
"Fulton",15.20507099
"Camden",14.93241119
"Coffee",14.88095238
"Richmond",14.42026047
"Fayette",14.38483669
"Troup",14.38257654
"Habersham",14.27943761
"Towns",14.16430595
"Glynn",14.15701416
"Paulding",13.76982188
"Bartow",13.64384851
"Newton",13.49645174
"Spalding",13.33000083
"Banks",13.28021248
"Bulloch",13.14793418
"Jeff Davis",13.03356142
"Glascock",12.78772379
"Grady",12.63689975
"Chattahoochee",12.57131805
"Worth",12.25114855
"Sumter",12.23990208
"Cook",12.17285453
"Wayne",11.99940003
"Walton",11.85687063
"Lowndes",11.83216529
"Baldwin",11.33603239
"Dougherty",11.21262459
"Emanuel",11.08401685
"Putnam",10.89918256
"Clarke",10.88114615
"DeKalb",10.45943235
"Effingham",10.30355869
"Tattnall",10.2915952
"Cobb",10.15515979
"Murray",10.11378003
"Cherokee",10.01611288
"Rockdale",9.773578759
"Bleckley",9.751340809
"Henry",9.725179832
"Butts",9.606147935
"Stephens",9.379396592
"Monroe",9.035464197
"Whitfield",9.007463327
"Evans",8.940545373
"Morgan",8.883624519
"Berrien",8.855435023
"Burke",8.382229673
"Twiggs",8.333333333
"Fannin",8.278145695
"Irwin",7.98084597
"Harris",7.816163827
"Barrow",7.790690125
"Elbert",7.466401195
"Lumpkin",7.390983001
"Treutlen",7.380073801
"Lamar",6.887052342
"Clayton",6.874519795
"Bryan",6.811989101
"Oconee",6.07995136
"Taylor",6.024096386
"Douglas",5.961844197
"Madison",5.914826498
"Jones",5.827505828
"Dawson",5.736137667
"Pierce",5.619556055
"Wilkes",5.561735261
"Seminole",5.39083558
"Walker",5.344735436
"Washington",4.799616031
"McDuffie",4.686035614
"Dade",4.599816007
"Long",4.506534475
"Pike",4.503490205
"Gilmer",4.258943782
"Polk",4.217629692
"Charlton",4.210526316
"Wilkinson",4.140786749
"Candler",4.135649297
"Peach",4.036734282
"Lee",3.926187672
"Columbia",3.741114852
"Decatur",3.644314869
"Rabun",3.615328995
"McIntosh",3.351206434
"Macon",3.290556104
"Oglethorpe",3.016591252
"Jefferson",2.808199944
"Hart",2.411963338
"Mitchell",1.955416504
"White",1.866716446
"Atkinson",0
"Bacon",0
"Brantley",0
"Calhoun",0
"Chattooga",0
"Clay",0
"Crawford",0
"Dooly",0
"Early",0
"Echols",0
"Greene",0
"Hancock",0
"Heard",0
"Jasper",0
"Jenkins",0
"Johnson",0
"Lincoln",0
"Marion",0
"Meriwether",0
"Montgomery",0
"Quitman",0
"Randolph",0
"Schley",0
"Stewart",0
"Talbot",0
"Taliaferro",0
"Telfair",0
"Terrell",0
"Turner",0
"Warren",0
"Webster",0
"Wilcox",0
"Catoosa",0
