"county","ratethouStim_2016"
"Evans",8.940545373
"Irwin",7.98084597
"Ben Hill",4.498425551
"Charlton",4.210526316
"Coweta",3.965736041
"Madison",3.943217666
"Haralson",3.672420125
"Forsyth",3.371417869
"Liberty",3.349896712
"Toombs",3.339455669
"Brooks",3.299241175
"Glynn",3.217503218
"Camden",3.143665514
"Harris",3.126465531
"Worth",3.062787136
"Tift",3.053435115
"Jones",2.913752914
"Chattahoochee",2.901073397
"Bryan",2.72479564
"Banks",2.656042497
"Floyd",2.64131009
"Gordon",2.635046113
"Franklin",2.574665294
"Baldwin",2.429149798
"Effingham",2.377744313
"Muscogee",2.327566142
"Pike",2.251745102
"Jackson",2.235802653
"Emanuel",2.21680337
"Newton",2.176847055
"Pickens",2.038320424
"Bulloch",1.992111239
"Upson",1.872659176
"Tattnall",1.715265866
"Fayette",1.692333728
"Spalding",1.666250104
"Richmond",1.577215988
"Stephens",1.563232765
"Fulton",1.530380522
"Walker",1.527067267
"Oconee",1.51998784
"Chatham",1.5167602
"Wayne",1.499925004
"Bartow",1.411432604
"Ware",1.376841526
"Troup",1.369769194
"Sumter",1.35998912
"Carroll",1.306890581
"Barrow",1.298448354
"Murray",1.264222503
"Lumpkin",1.2318305
"Lowndes",1.213555414
"DeKalb",1.209594217
"Gwinnett",1.116445238
"Habersham",1.098418278
"Cherokee",1.088707921
"Rockdale",1.085953195
"Polk",1.054407423
"Colquitt",1.022494888
"Columbia",1.020304051
"Henry",1.006053086
"Houston",0.993904055
"Paulding",0.888375605
"Bibb",0.876244998
"Whitfield",0.85785365
"Walton",0.846919331
"Cobb",0.690827196
"Dougherty",0.415282392
"Douglas",0.331213567
"Hall",0.261171616
"Appling",0
"Atkinson",0
"Bacon",0
"Baker",0
"Berrien",0
"Bleckley",0
"Brantley",0
"Burke",0
"Butts",0
"Calhoun",0
"Candler",0
"Chattooga",0
"Clarke",0
"Clay",0
"Clayton",0
"Clinch",0
"Coffee",0
"Cook",0
"Crawford",0
"Crisp",0
"Dade",0
"Dawson",0
"Decatur",0
"Dodge",0
"Dooly",0
"Early",0
"Echols",0
"Elbert",0
"Fannin",0
"Gilmer",0
"Glascock",0
"Grady",0
"Greene",0
"Hancock",0
"Hart",0
"Heard",0
"Jasper",0
"Jeff Davis",0
"Jefferson",0
"Jenkins",0
"Johnson",0
"Lamar",0
"Lanier",0
"Laurens",0
"Lee",0
"Lincoln",0
"Long",0
"Macon",0
"Marion",0
"McDuffie",0
"McIntosh",0
"Meriwether",0
"Miller",0
"Mitchell",0
"Monroe",0
"Montgomery",0
"Morgan",0
"Oglethorpe",0
"Peach",0
"Pierce",0
"Pulaski",0
"Putnam",0
"Quitman",0
"Rabun",0
"Randolph",0
"Schley",0
"Screven",0
"Seminole",0
"Stewart",0
"Talbot",0
"Taliaferro",0
"Taylor",0
"Telfair",0
"Terrell",0
"Thomas",0
"Towns",0
"Treutlen",0
"Turner",0
"Twiggs",0
"Union",0
"Warren",0
"Washington",0
"Webster",0
"Wheeler",0
"White",0
"Wilcox",0
"Wilkes",0
"Wilkinson",0
"Catoosa",0
